par_id,codigo_1,codigo_2,municipio,establecimiento_1,establecimiento_2,similitud_nombre,direccion,jornada,plan,decision,justificacion
892,02-06-0020-46,02-06-0022-46,Sansare,COLEGIO SAGRADO CORAZÓN DE JESÚS Y MARÍA,COLEGIO SAGRADO CORAZÓN DE JÉSUS Y MARÍA,100.0,BARRIO PUEBLO ABAJO,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
893,02-06-0021-46,02-06-0022-46,Sansare,COLEGIO SAGRADO CORAZÓN DE JESÚS Y MARÍA,COLEGIO SAGRADO CORAZÓN DE JÉSUS Y MARÍA,100.0,BARRIO PUEBLO ABAJO,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
894,02-06-0004-46,02-06-0006-46,Sansare,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,CABECERA MUNICIPAL,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
895,17-07-0044-46,17-07-0045-46,Santa Ana,CENTRO EDUCATIVO INTEGRAL MANANTIAL DE SABIDURIA-CEIMSA-,CENTRO EDUCATIVO INTEGRAL MANANTIAL DE SABIDURIA -CEIMSA-,100.0,5A.AV.ZONA 1 BARRIO EL CENTRO,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
896,17-07-0041-46,17-07-0049-46,Santa Ana,COLEGIO CRISTIANO ARBOL DE VIDA,COLEGIO CRISTIANO ARBOL DE VIDA,100.0,ALDEA LOS ANGELES,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
897,04-05-0017-46,04-05-0021-46,Santa Apolonia,"LICEO TECNOLÓGICO BILINGÜE ""EL ROBLE""","LICEO TECNOLÓGICO BILINGÜE ""EL ROBLE""",100.0,3ER. CALLEJÓN 2-66 ZONA 1,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
898,10-15-0024-46,10-15-0025-46,Santa Bárbara,"CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""","CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""",100.0,ALDEA EL ESFUERZO,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
899,10-15-0024-46,10-15-0028-46,Santa Bárbara,"CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""","CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""",100.0,ALDEA EL ESFUERZO,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
900,10-15-0025-46,10-15-0028-46,Santa Bárbara,"CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""","CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""",100.0,ALDEA EL ESFUERZO,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
901,10-15-0040-46,10-15-0041-46,Santa Bárbara,"COLEGIO PRIVADO MIXTO ""SANTA BARBARA""","COLEGIO PRIVADO MIXTO ""SANTA BARBARA""",100.0,CALLE AL ESTADIO MUNICIPAL,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
